template,zone,element,attr,control_name
0,6,2,text,MOTION32_SCREEN_MAIN_ENCODER_LABEL_CC_ENC[3]
0,6,2,visible,MOTION32_SCREEN_MAIN_ENCODER_LABEL_CC_ENC_VISIBLE[3]
0,6,2,color,MOTION32_SCREEN_MAIN_ENCODER_LABEL_CC_ENC_COLOR[3]
0,7,0,color,MOTION32_SCREEN_MAIN_TEXT_BACKGROUND
0,7,1,text,MOTION32_SCREEN_MAIN_TEXT
0,7,1,color,MOTION32_SCREEN_MAIN_TEXT_COLOR
0,7,1,visible,MOTION32_SCREEN_MAIN_TEXT_VISIBLE
0,8,0,color,MOTION32_SCREEN_MAIN_ENCODER_BACKGROUND[4]
0,8,1,value,MOTION32_SCREEN_MAIN_ENCODER_ENCODER[4]
0,8,1,color,MOTION32_SCREEN_MAIN_ENCODER_COLOR[4]
0,8,1,visible,MOTION32_SCREEN_MAIN_ENCODER_VISIBLE[4]
0,8,2,text,MOTION32_SCREEN_MAIN_ENCODER_LABEL_CC_ENC[4]
0,8,2,visible,MOTION32_SCREEN_MAIN_ENCODER_LABEL_CC_ENC_VISIBLE[4]
0,8,2,color,MOTION32_SCREEN_MAIN_ENCODER_LABEL_CC_ENC_COLOR[4]
0,9,0,color,MOTION32_SCREEN_MAIN_ENCODER_BACKGROUND[5]
0,9,1,value,MOTION32_SCREEN_MAIN_ENCODER_ENCODER[5]
0,9,1,color,MOTION32_SCREEN_MAIN_ENCODER_COLOR[5]
0,9,1,visible,MOTION32_SCREEN_MAIN_ENCODER_VISIBLE[5]
0,9,2,text,MOTION32_SCREEN_MAIN_ENCODER_LABEL_CC_ENC[5]
0,9,2,visible,MOTION32_SCREEN_MAIN_ENCODER_LABEL_CC_ENC_VISIBLE[5]
0,9,2,color,MOTION32_SCREEN_MAIN_ENCODER_LABEL_CC_ENC_COLOR[5]
0,10,0,color,MOTION32_SCREEN_MAIN_ENCODER_BACKGROUND[6]
0,10,1,value,MOTION32_SCREEN_MAIN_ENCODER_ENCODER[6]
0,10,1,color,MOTION32_SCREEN_MAIN_ENCODER_COLOR[6]
0,10,1,visible,MOTION32_SCREEN_MAIN_ENCODER_VISIBLE[6]
0,10,2,text,MOTION32_SCREEN_MAIN_ENCODER_LABEL_CC_ENC[6]
0,10,2,visible,MOTION32_SCREEN_MAIN_ENCODER_LABEL_CC_ENC_VISIBLE[6]
0,10,2,color,MOTION32_SCREEN_MAIN_ENCODER_LABEL_CC_ENC_COLOR[6]
0,11,0,color,MOTION32_SCREEN_MAIN_ENCODER_BACKGROUND[7]
0,11,1,value,MOTION32_SCREEN_MAIN_ENCODER_ENCODER[7]
0,11,1,color,MOTION32_SCREEN_MAIN_ENCODER_COLOR[7]
0,11,1,visible,MOTION32_SCREEN_MAIN_ENCODER_VISIBLE[7]
0,11,2,text,MOTION32_SCREEN_MAIN_ENCODER_LABEL_CC_ENC[7]
0,11,2,visible,MOTION32_SCREEN_MAIN_ENCODER_LABEL_CC_ENC_VISIBLE[7]
0,11,2,color,MOTION32_SCREEN_MAIN_ENCODER_LABEL_CC_ENC_COLOR[7]
1,0,0,color,MOTION32_SCREEN_MENU_BACKGROUND
1,1,0,color,MOTION32_SCREEN_MENU_HEADER_BACKGROUND
1,1,5,text,MOTION32_SCREEN_MENU_HEADER_TITLE_TEXT
1,1,5,color,MOTION32_SCREEN_MENU_HEADER_TITLE_TEXT_COLOR
1,1,5,visible,MOTION32_SCREEN_MENU_HEADER_TITLE_TEXT_VISIBLE
1,1,5,font,MOTION32_SCREEN_MENU_HEADER_TITLE_TEXT_FONTSTYLE
1,1,1,text,MOTION32_SCREEN_MENU_HEADER_BUT_TEXT[0]
1,1,1,color,MOTION32_SCREEN_MENU_HEADER_BUT_TEXT_COLOR[0]
1,1,1,visible,MOTION32_SCREEN_MENU_HEADER_BUT_TEXT_VISIBLE[0]
1,1,1,font,MOTION32_SCREEN_MENU_HEADER_BUT_TEXT_FONTSTYLE[0]
1,1,2,text,MOTION32_SCREEN_MENU_HEADER_BUT_TEXT[1]
1,1,2,color,MOTION32_SCREEN_MENU_HEADER_BUT_TEXT_COLOR[1]
1,1,2,visible,MOTION32_SCREEN_MENU_HEADER_BUT_TEXT_VISIBLE[1]
1,1,2,font,MOTION32_SCREEN_MENU_HEADER_BUT_TEXT_FONTSTYLE[1]
1,1,3,text,MOTION32_SCREEN_MENU_HEADER_BUT_TEXT[2]
1,1,3,color,MOTION32_SCREEN_MENU_HEADER_BUT_TEXT_COLOR[2]
1,1,3,visible,MOTION32_SCREEN_MENU_HEADER_BUT_TEXT_VISIBLE[2]
1,1,3,font,MOTION32_SCREEN_MENU_HEADER_BUT_TEXT_FONTSTYLE[2]
1,1,4,text,MOTION32_SCREEN_MENU_HEADER_BUT_TEXT[3]
1,1,4,color,MOTION32_SCREEN_MENU_HEADER_BUT_TEXT_COLOR[3]
1,1,4,visible,MOTION32_SCREEN_MENU_HEADER_BUT_TEXT_VISIBLE[3]
1,1,4,font,MOTION32_SCREEN_MENU_HEADER_BUT_TEXT_FONTSTYLE[3]
1,2,0,color,MOTION32_SCREEN_MENU_HEADER_DIVIDER_COLOR
1,2,0,visible,MOTION32_SCREEN_MENU_HEADER_DIVIDER_VISIBLE
1,6,0,color,MOTION32_SCREEN_MENU_FOOTER_BACKGROUND
1,6,1,text,MOTION32_SCREEN_MENU_FOOTER_BUT_TEXT[0]
1,6,1,color,MOTION32_SCREEN_MENU_FOOTER_BUT_TEXT_COLOR[0]
1,6,1,visible,MOTION32_SCREEN_MENU_FOOTER_BUT_TEXT_VISIBLE[0]
1,6,1,font,MOTION32_SCREEN_MENU_FOOTER_BUT_TEXT_FONTSTYLE[0]
1,6,2,text,MOTION32_SCREEN_MENU_FOOTER_BUT_TEXT[1]
1,6,2,color,MOTION32_SCREEN_MENU_FOOTER_BUT_TEXT_COLOR[1]
1,6,2,visible,MOTION32_SCREEN_MENU_FOOTER_BUT_TEXT_VISIBLE[1]
1,6,2,font,MOTION32_SCREEN_MENU_FOOTER_BUT_TEXT_FONTSTYLE[1]
1,6,3,text,MOTION32_SCREEN_MENU_FOOTER_BUT_TEXT[2]
1,6,3,color,MOTION32_SCREEN_MENU_FOOTER_BUT_TEXT_COLOR[2]
1,6,3,visible,MOTION32_SCREEN_MENU_FOOTER_BUT_TEXT_VISIBLE[2]
1,6,3,font,MOTION32_SCREEN_MENU_FOOTER_BUT_TEXT_FONTSTYLE[2]
1,6,4,text,MOTION32_SCREEN_MENU_FOOTER_BUT_TEXT[3]
1,6,4,color,MOTION32_SCREEN_MENU_FOOTER_BUT_TEXT_COLOR[3]
1,6,4,visible,MOTION32_SCREEN_MENU_FOOTER_BUT_TEXT_VISIBLE[3]
1,6,4,font,MOTION32_SCREEN_MENU_FOOTER_BUT_TEXT_FONTSTYLE[3]
1,5,0,color,MOTION32_SCREEN_MENU_FOOTER_DIVIDER_COLOR
1,3,0,color,MOTION32_SCREEN_MENU_MENU_BACKGROUND[0]
1,3,1,text,MOTION32_SCREEN_MENU_TEXT_ROW[0][0]
1,3,1,color,MOTION32_SCREEN_MENU_TEXT_ROW_COLOR[0][0]
1,3,1,font,MOTION32_SCREEN_MENU_TEXT_ROW_FONTSTYLE[0][0]
1,3,1,visible,MOTION32_SCREEN_MENU_TEXT_ROW_VISIBLE[0][0]
1,3,2,text,MOTION32_SCREEN_MENU_TEXT_ROW[1][0]
1,3,2,color,MOTION32_SCREEN_MENU_TEXT_ROW_COLOR[1][0]
1,3,2,font,MOTION32_SCREEN_MENU_TEXT_ROW_FONTSTYLE[1][0]
1,3,2,visible,MOTION32_SCREEN_MENU_TEXT_ROW_VISIBLE[1][0]
1,3,3,text,MOTION32_SCREEN_MENU_TEXT_ROW[2][0]
1,3,3,color,MOTION32_SCREEN_MENU_TEXT_ROW_COLOR[2][0]
1,3,3,font,MOTION32_SCREEN_MENU_TEXT_ROW_FONTSTYLE[2][0]
1,3,3,visible,MOTION32_SCREEN_MENU_TEXT_ROW_VISIBLE[2][0]
1,3,4,text,MOTION32_SCREEN_MENU_TEXT_ROW[3][0]
1,3,4,color,MOTION32_SCREEN_MENU_TEXT_ROW_COLOR[3][0]
1,3,4,font,MOTION32_SCREEN_MENU_TEXT_ROW_FONTSTYLE[3][0]
1,3,4,visible,MOTION32_SCREEN_MENU_TEXT_ROW_VISIBLE[3][0]
1,3,5,text,MOTION32_SCREEN_MENU_TEXT_ROW[4][0]
1,3,5,color,MOTION32_SCREEN_MENU_TEXT_ROW_COLOR[4][0]
1,3,5,font,MOTION32_SCREEN_MENU_TEXT_ROW_FONTSTYLE[4][0]
